yantramanav;Yantramanav;300;latin
yrsa;Yrsa;300;latin
zilla-slab;Zilla Slab;300;latin
alegreya-sans;Alegreya Sans;300italic;latin
alegreya-sans-sc;Alegreya Sans SC;300italic;latin
averia-libre;Averia Libre;300italic;latin
averia-sans-libre;Averia Sans Libre;300italic;latin
averia-serif-libre;Averia Serif Libre;300italic;latin
bai-jamjuree;Bai Jamjuree;300italic;latin
barlow;Barlow;300italic;latin
barlow-condensed;Barlow Condensed;300italic;latin
barlow-condensed;Barlow Condensed;300italic;latin
barlow-semi-condensed;Barlow Semi Condensed;300italic;latin
chakra-petch;Chakra Petch;300italic;latin
chivo;Chivo;300italic;latin
cormorant;Cormorant;300italic;latin
cormorant-garamond;Cormorant Garamond;300italic;latin
cormorant-infant;Cormorant Infant;300italic;latin
exo;Exo;300italic;latin
exo-2;Exo 2;300italic;latin
fahkwang;Fahkwang;300italic;latin
fira-sans;Fira Sans;300italic;latin
fira-sans-condensed;Fira Sans Condensed;300italic;latin
fira-sans-extra-condensed;Fira Sans Extra Condensed;300italic;latin
ibm-plex-mono;IBM Plex Mono;300italic;latin
ibm-plex-sans;IBM Plex Sans;300italic;latin
ibm-plex-sans-condensed;IBM Plex Sans Condensed;300italic;latin
ibm-plex-serif;IBM Plex Serif;300italic;latin
josefin-sans;Josefin Sans;300italic;latin
josefin-slab;Josefin Slab;300italic;latin
k2d;K2D;300italic;latin
kanit;Kanit;300italic;latin
kanit;Kanit;300italic;thai
kanit;Kanit;300italic;thai_latin
kanit;Kanit;300italic;thai_latin-ext_latin_vietnamese
kodchasan;Kodchasan;300italic;latin
koho;KoHo;300italic;latin
krub;Krub;300italic;latin
lato;Lato;300italic;latin
libre-franklin;Libre Franklin;300italic;latin
mali;Mali;300italic;latin
merriweather;Merriweather;300italic;latin
merriweather-sans;Merriweather Sans;300italic;latin
montserrat;Montserrat;300italic;latin
montserrat-alternates;Montserrat Alternates;300italic;latin
muli;Muli;300italic;latin
niramit;Niramit;300italic;latin
nunito;Nunito;300italic;latin
nunito-sans;Nunito Sans;300italic;latin
open-sans;Open Sans;300italic;latin
open-sans;Open Sans;300italic;greek-ext
open-sans;Open Sans;300italic;cyrillic-ext
open-sans;Open Sans;300italic;latin-ext
open-sans;Open Sans;300italic;vietamese
open-sans-condensed;Open Sans Condensed;300italic;latin
overpass;Overpass;300italic;latin
poppins;Poppins;300italic;latin
prompt;Prompt;300italic;latin
raleway;Raleway;300italic;latin
roboto;Roboto;300italic;latin
roboto;Roboto;300italic;vietnamese
roboto;Roboto;300italic;cyrillic-ext_cyrillic
roboto;Roboto;300italic;latin-ext
roboto;Roboto;300italic;greek_greek-ext
roboto-condensed;Roboto Condensed;300italic;latin
roboto-mono;Roboto Mono;300italic;latin
rubik;Rubik;300italic;latin
source-sans-pro;Source Sans Pro;300italic;latin
spectral;Spectral;300italic;latin
spectral-sc;Spectral SC;300italic;latin
titillium-web;Titillium Web;300italic;latin
trirong;Trirong;300italic;latin
ubuntu;Ubuntu;300italic;latin
zilla-slab;Zilla Slab;300italic;latin
abhaya-libre;Abhaya Libre;500;latin-ext_sinhala_latin
abhaya-libre;Abhaya Libre;500;latin
advent-pro;Advent Pro;500;latin
alegreya;Alegreya;500;latin
alegreya-sc;Alegreya SC;500;latin
archivo;Archivo;500;latin
archivo-narrow;Archivo Narrow;500;latin
arima-madurai;Arima Madurai;500;latin
asap;Asap;500;latin
asap-condensed;Asap Condensed;500;latin
athiti;Athiti;500;latin
